Cluster,ThreeD,Plant,Site,FA1,FA2,FA3,FA4,FA5,,
c,n,ACMI2,SWMREC,22.593,25.449,18.686,9.45,36.443,,
c,y,AMCA2,SWMREC,5.974,5.428,5.452,4.168,7.402,,
s,n,ASSY,SWMREC,0.918,1,1.306,0.901,0.93,,
s,n,ASTU,SWMREC,0.611,0.618,0.67,0.776,0.648,,
s,n,ASVE,SWMREC,0.233,0.188,0.223,0.169,0.203,,
s,n,CARO2,SWMREC,5.019,2.311,3.468,3.333,2.603,,
c,y,CEAM,SWMREC,8.546,8.156,7.284,5.926,8.626,,  
s,n,CESTM,SWMREC,3.9,4.073,1.612,3.245,1.904,,
s,n,COLA5,SWMREC,10.691,8.722,11.092,9.065,14.216,,
s,n,COPA10,SWMREC,5.716,11.133,4.716,9.664,13.685,,
s,n,COTR4,SWMREC,12.193,10.961,11.391,7.746,8.08,,
s,n,DAFR6,SWMREC,2.219,1.74,1.965,2.235,1.81,,
c,y,DAPU5,SWMREC,1.51,1.728,1.66,1.588,2.158,,
s,n,ECPU,SWMREC,24.296,34.312,26.16,8.928,22.314,,
s,n,ERYU,SWMREC,2.377,2.362,3.905,4.597,1.415,,
s,n,HERI,SWMREC,0.39,0.422,0.445,0.508,0.487,,
s,n,HEOC2,SWMREC,13.265,6.992,6.078,8.822,8.195,,
s,n,HEST,SWMREC,29.321,26.628,8.501,20.686,25.776,,
s,n,HIGR3,SWMREC,1.263,1.126,1.231,1.76,2.478,,
s,n,HYPR,SWMREC,2.489,1.122,2.292,2.166,2.803,,
s,n,LECA8,SWMREC,0.179,0.148,0.151,0.232,0.257,,
s,n,LEHI2,SWMREC,0.073,0.096,0.147,0.093,0.122,,
s,n,LIAS,SWMREC,3.149,6.687,8.216,8.153,1.259,,
s,n,LICY,SWMREC,2.431,3.412,3.66,3.416,3.016,,
s,n,LOCO6,SWMREC,0.679,0.675,0.868,0.882,0.611,,
c,n,MOFI,SWMREC,5.746,5.782,10.112,10.785,6.463,,
s,n,MOPU,SWMREC,0.449,0.561,0.356,0.508,0.415,,
s,n,OEFR,SWMREC,2.386,6.192,4.947,5.087,5.422,,
s,n,OEBI,SWMREC,4.272,3.03,3.459,7.97,5.88,,
s,n,OLRI,SWMREC,0.686,0.895,0.763,0.437,0.552,,
s,y,PEHI,SWMREC,2.452,4.118,3.074,2.728,3.134,,
s,y,PEDI,SWMREC,2.444,2.894,2.428,1.3,1.672,,
s,n,POAR7,SWMREC,1.278,2.061,1.4,1.931,1.507,,
s,n,POSI2,SWMREC,1.289,1.05,1.381,0.916,0.744,,
s,n,PYPI,SWMREC,0.154,0.081,0.099,0.095,0.102,,
s,n,PYVI,SWMREC,0.082,0.105,0.122,0.102,0.159,,
s,n,RAPI,SWMREC,13.03,11.646,17.274,18.289,7.871,,
s,n,RHCO,SWMREC,0.127,0.088,0.18,0.13,0.106,,
s,n,ROCA6,SWMREC,13.059,10.55,7.811,10.201,9.595,,
s,n,RUHI2,SWMREC,18.861,31.643,16.247,28.276,17.81,,
s,n,SEOB2,SWMREC,2.261,1.303,1.54,1.765,1.789,,
s,n,SIIN2,SWMREC,9.229,17.47,10.665,19.996,11.064,,
s,n,SITE,SWMREC,13.798,24.237,9.487,11.268,19.337,,
s,n,SOJU,SWMREC,0.188,0.137,0.1,0.143,0.163,,
s,n,SONE,SWMREC,0.194,0.134,0.219,0.2,0.266,,
s,n,SOSP2,SWMREC,0.293,0.147,0.184,0.207,0.231,,
s,n,SYOO,SWMREC,2.299,1.727,1.249,2.901,1.458,,
s,n,SYSE2,SWMREC,4.446,3.346,5.315,5.265,4.392,,
s,n,TROH,SWMREC,5.778,4.382,7.121,4.148,7.659,,
s,n,VEST,SWMREC,0.357,0.463,0.429,0.443,0.682,,
