NewRecord,OldRecord,Date,Site,Block,Species,Units,FlowersPerUnit,TotalFlowers,PhotoID,AvgTallestFlower,PlotMortality,Coverage,Wind ,Temperature,Sky,VacuumTime,Notes,,,,,,,,,,
1,202,06/17/15,SWMREC,1,ACMI2,64,134,8576,217-221,74.5,0,80,6.7,64.8,partly cloudy,16,,,,,,,,,,,
2,213,06/17/15,SWMREC,2,ACMI2,60,154.2,9252,277-281,70.5,0,80,6.7,64.8,partly cloudy,25,,,,,,,,,,,
3,224,06/17/15,SWMREC,4,ACMI2,15,144.1,2161.5,352-356,65,0,50,6.7,64.8,partly cloudy,21,,,,,,,,,,,
4,226,06/17/15,SWMREC,3,ACMI2,64,144.1,9222.4,370-374,73,0,60,6.7,64.8,partly cloudy,22,,,,,,,,,,,
5,305,06/24/15,SWMREC,1,ACMI2,69,174.4,12033.6,199-203,73,0,70,2.6,77,overcast,32,,,,,,,,,,,
6,309,06/24/15,SWMREC,2,ACMI2,47,174.4,8196.8,219-223,71,0,55,2.6,77,overcast,27,,,,,,,,,,,
7,321,06/24/15,SWMREC,4,ACMI2,26,174.4,4534.4,274-278,66.5,0,80,2.6,77,overcast,21,,,,,,,,,,,
8,323,06/24/15,SWMREC,3,ACMI2,39,174.4,6801.6,284-288,72.5,0,70,2.6,77,overcast,27,,,,,,,,,,,
9,453,07/02/15,SWMREC,1,ACMI2,48,145,6960,NA,73,0,70,10,69,clear,36,,,,,,,,,,,
10,460,07/02/15,SWMREC,2,ACMI2,67,145,9715,NA,68.5,0,60,8.5,70,partly cloudy,30,,,,,,,,,,,
11,473,07/02/15,SWMREC,4,ACMI2,45,145,6525,NA,60.5,0,90,8.5,70,partly cloudy,31,,,,,,,,,,,
12,478,07/02/15,SWMREC,3,ACMI2,35,145,5075,NA,73,0,85,8.5,70,partly cloudy,36,,,,,,,,,,,
13,530,07/08/15,SWMREC,2,AMCA6,5,1,5,41-45,37,1,50,5.3,65,cloudy,8,,,,,,,,,,,
14,544,07/08/15,SWMREC,4,AMCA6,6,1,6,NA,50,0,70,5.3,65,cloudy,6,,,,,,,,,,,
